query_id,query,type,has_adversarial,expected,top1_file,top1_cosine,query_ms,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap,adv_gap_by_type
Q01,How does the broker accept incoming client TCP connections?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/network/SocketServer.scala,core/src/main/scala/kafka/cluster/EndPoint.scala,0.5885,14,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved,
Q02,How does Kafka deduplicate keys during log compaction?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,core/src/main/scala/kafka/log/LogCleaner.scala,0.6661,14,true,1.0000,1.0000,1.0000,1.0000,true,3,PARENT=3
Q03,How does a follower replica fetch records from the leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,core/src/main/scala/kafka/cluster/Partition.scala,0.6749,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q04,How does a Raft node decide to start a leader election?,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,0.6112,13,true,1.0000,1.0000,1.0000,1.0000,true,3,SIBLING=3
Q05,How is broker metadata loaded from the KRaft log on startup?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/image/loader/MetadataLoader.java,core/src/main/scala/kafka/server/BrokerServer.scala,0.6874,14,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q06,How does the broker coordinate consumer group membership and trigger rebalances?,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6098,12,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q07,How does the broker manage a transaction's lifecycle from Begin to Prepare to Commit?,BEHAVIOURAL,true,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,0.6806,13,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q08,How does a partition leader track its in-sync replica set and advance the high watermark?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,core/src/main/scala/kafka/cluster/Partition.scala,0.6992,14,true,1.0000,1.0000,1.0000,1.0000,true,2,PARENT=2
Q09,Where does the broker dispatch each incoming protocol request to its handler?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaApis.scala,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6002,14,false,0.0000,1.0000,1.0000,0.3333,true,no_adv_retrieved,
Q10,How is a KRaft metadata snapshot generated from the current metadata image?,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6738,13,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q11,How does the broker periodically clean up logs based on retention policy?,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogManager.scala,core/src/main/scala/kafka/log/LogManager.scala,0.6195,14,true,1.0000,1.0000,1.0000,1.0000,true,1,CHILD=1
Q12,How is a Kafka broker server initialized and started up with all its components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,core/src/main/scala/kafka/server/BrokerServer.scala,0.6383,14,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
