query_id,query,type,has_adversarial,expected,top1_file,top1_cosine,query_ms,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap,adv_gap_by_type
Q01,How does the broker accept incoming client TCP connections?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/network/SocketServer.scala,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.5811,14,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved,
Q02,How does Kafka deduplicate keys during log compaction?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,core/src/main/scala/kafka/log/LogCleaner.scala,0.6281,11,true,1.0000,1.0000,1.0000,1.0000,true,6,PARENT=6
Q03,How does a follower replica fetch records from the leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,core/src/main/scala/kafka/cluster/Partition.scala,0.6221,11,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved,
Q04,How does a Raft node decide to start a leader election?,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,0.5736,13,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q05,How is broker metadata loaded from the KRaft log on startup?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/image/loader/MetadataLoader.java,core/src/main/scala/kafka/server/BrokerServer.scala,0.6424,13,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q06,How does the broker coordinate consumer group membership and trigger rebalances?,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.5982,13,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q07,How does the broker manage a transaction's lifecycle from Begin to Prepare to Commit?,BEHAVIOURAL,true,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala,core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,0.6242,14,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q08,How does a partition leader track its in-sync replica set and advance the high watermark?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,0.6491,14,false,0.0000,1.0000,1.0000,0.5000,true,1,PARENT=1
Q09,Where does the broker dispatch each incoming protocol request to its handler?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaApis.scala,core/src/main/scala/kafka/server/metadata/KRaftMetadataCache.scala,0.5756,13,false,0.0000,1.0000,1.0000,0.3333,true,6,SIBLING=6
Q10,How is a KRaft metadata snapshot generated from the current metadata image?,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,core/src/main/scala/kafka/server/metadata/BrokerMetadataPublisher.scala,0.6081,13,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q11,How does the broker periodically clean up logs based on retention policy?,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogManager.scala,core/src/main/scala/kafka/log/LogCleanerManager.scala,0.6055,14,false,0.0000,0.0000,1.0000,0.2000,false,-3,SIBLING=-3
Q12,How is a Kafka broker server initialized and started up with all its components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,core/src/main/scala/kafka/server/BrokerServer.scala,0.6057,14,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q13,How does the broker detect duplicate batches from an idempotent producer?,BEHAVIOURAL,true,storage/src/main/java/org/apache/kafka/storage/internals/log/ProducerStateManager.java,server/src/main/java/org/apache/kafka/server/config/ReplicationConfigs.java,0.5825,14,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q14,How does Kafka guarantee exactly-once delivery for stream-processing applications?,ANTI_PATTERN,false,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala|storage/src/main/java/org/apache/kafka/storage/internals/log/ProducerStateManager.java|storage/src/main/java/org/apache/kafka/storage/internals/log/LogValidator.java|core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerChannelManager.scala,core/src/main/java/kafka/server/share/SharePartition.java,0.5643,14,false,0.0000,0.0000,1.0000,0.1429,,,
Q15,Where in the broker is authentication and authorization implemented?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/AclApis.scala|core/src/main/scala/kafka/server/AuthHelper.scala|core/src/main/scala/kafka/server/DelegationTokenManager.scala|core/src/main/scala/kafka/server/metadata/AclPublisher.scala|core/src/main/scala/kafka/server/metadata/ScramPublisher.scala|core/src/main/scala/kafka/server/metadata/DelegationTokenPublisher.scala,core/src/main/scala/kafka/server/KafkaApis.scala,0.6159,15,false,0.0000,0.0000,0.0000,0.0000,,,
Q16,How does the broker cache an incremental fetch session between consumer requests?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/FetchSession.scala,server/src/main/java/org/apache/kafka/server/config/ReplicationConfigs.java,0.5988,14,false,0.0000,1.0000,1.0000,0.3333,true,4,SIBLING=4
Q17,How does the Raft layer represent the current set of voters in the cluster?,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/VoterSet.java,raft/src/main/java/org/apache/kafka/raft/VoterSet.java,0.5939,11,true,1.0000,1.0000,1.0000,1.0000,true,1,PARENT=1
Q18,How does an incoming Produce request flow through the broker from the network thread to the log?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ReplicaManager.scala,core/src/main/scala/kafka/server/KafkaApis.scala,0.5838,13,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q19,How does the broker rate-limit individual clients exceeding their configured quota?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,core/src/main/scala/kafka/server/ClientQuotaManager.scala,0.6074,13,true,1.0000,1.0000,1.0000,1.0000,true,6,SIBLING=6
Q20,How is a single log segment file structured on disk and accessed by the broker?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogSegment.java,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,0.6187,11,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved,
Q21,How does the KRaft controller handle a topic-creation request and persist it to the metadata log?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/controller/QuorumController.java,core/src/main/scala/kafka/server/ControllerServer.scala,0.6304,10,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q22,How does the broker delay a Produce request until enough replicas have acknowledged?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/DelayedProduce.scala,core/src/main/scala/kafka/cluster/Partition.scala,0.6252,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q23,How does the broker recover its log state from disk on startup?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,core/src/main/scala/kafka/log/LogManager.scala,0.5887,11,false,0.0000,0.0000,1.0000,0.1667,false,-5,PARENT=-5
Q24,How does the broker apply a record batch to update its in-memory metadata image?,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/image/MetadataDelta.java,core/src/main/scala/kafka/server/BrokerServer.scala,0.6072,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q25,How does the broker manage the pool of fetcher threads pulling from leader replicas?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaFetcherManager.scala,server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,0.6166,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q26,How does the broker negotiate API versions with a connecting client?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ApiVersionManager.scala,core/src/main/scala/kafka/server/KafkaApis.scala,0.5961,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q27,How are metadata-image updates broadcast to interested broker components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/metadata/BrokerMetadataPublisher.scala,metadata/src/main/java/org/apache/kafka/image/ClusterDelta.java,0.5804,13,false,0.0000,0.0000,1.0000,0.2000,false,-3,INTERFACE=-3
Q28,How does a Kafka broker gracefully shut down all its components?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/BrokerServer.scala|core/src/main/scala/kafka/server/ReplicaManager.scala|core/src/main/scala/kafka/log/LogManager.scala|core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala|core/src/main/scala/kafka/network/SocketServer.scala,storage/src/main/java/org/apache/kafka/storage/log/metrics/BrokerTopicMetrics.java,0.5732,13,false,0.0000,0.0000,0.0000,0.0000,,,
Q29,What happens inside a partition object when the controller assigns it a new leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6546,13,false,0.0000,0.0000,1.0000,0.2500,false,-3,PARENT=-3
Q30,What information does the broker store to identify a single log offset within a segment?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogOffsetMetadata.java,core/src/main/scala/kafka/log/LogCleaner.scala,0.6410,13,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
